epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2102,3.29647,3.5107,4.18277,0.00345,0.48876,0.00669,0.00267,3.29798,3.66403,4.08568,0.000648148,0.000648148,0.000648148
2,43.4245,3.11895,3.33907,3.75588,0.0029,0.41011,0.01388,0.00385,3.47966,3.82355,3.95911,0.0013018,0.0013018,0.0013018
3,66.015,2.95506,3.15637,3.39401,0.04182,0.06742,0.02473,0.00591,3.41727,3.58864,4.21166,0.00194225,0.00194225,0.00194225
4,89.2868,2.74873,3.02627,3.17237,0.03551,0.17416,0.01453,0.00386,2.84907,4.99892,3.24532,0.0019406,0.0019406,0.0019406
5,111.102,2.55701,2.80339,2.98078,0.02689,0.25843,0.01577,0.00507,2.615,6.36649,3.11611,0.0019208,0.0019208,0.0019208
6,132.959,2.37455,2.64437,2.82662,0.30186,0.20225,0.14522,0.04857,2.40724,3.70602,2.79674,0.001901,0.001901,0.001901
7,155.888,2.27045,2.50896,2.70286,0.12867,0.33708,0.07825,0.02324,2.48988,3.47711,2.84634,0.0018812,0.0018812,0.0018812
8,178.262,2.19861,2.42005,2.65169,0.47856,0.27528,0.24715,0.08555,2.28734,2.84263,2.72385,0.0018614,0.0018614,0.0018614
9,200.834,2.09673,2.28196,2.53862,0.37005,0.21782,0.16806,0.04514,2.34087,3.24782,2.85707,0.0018416,0.0018416,0.0018416
10,223.047,2.06192,2.22763,2.47681,0.27461,0.2191,0.13657,0.03536,2.41856,3.91594,3.05477,0.0018218,0.0018218,0.0018218
11,245.137,1.99684,2.10807,2.38798,0.35718,0.38202,0.29614,0.10647,2.12572,2.78508,2.50499,0.001802,0.001802,0.001802
12,268.204,1.97082,2.05777,2.34777,0.3045,0.43258,0.33738,0.11879,2.19627,2.38425,2.60079,0.0017822,0.0017822,0.0017822
13,290.959,1.92203,1.98127,2.30855,0.50761,0.43258,0.42839,0.19797,1.94917,2.14741,2.31206,0.0017624,0.0017624,0.0017624
14,313.898,1.90583,1.92519,2.27143,0.63141,0.32723,0.43856,0.2011,1.91785,2.05255,2.26075,0.0017426,0.0017426,0.0017426
15,336.802,1.84472,1.84735,2.23025,0.48869,0.46067,0.44629,0.19544,1.97035,1.95166,2.28741,0.0017228,0.0017228,0.0017228
16,359.186,1.82401,1.84312,2.19631,0.52082,0.49438,0.45749,0.18666,1.90484,1.97841,2.26959,0.001703,0.001703,0.001703
17,381.515,1.7852,1.75878,2.1753,0.64219,0.49407,0.51344,0.24358,1.88495,1.8161,2.20924,0.0016832,0.0016832,0.0016832
18,404.704,1.76422,1.70257,2.12369,0.60872,0.53933,0.55265,0.27315,1.81272,1.70222,2.11264,0.0016634,0.0016634,0.0016634
19,427.575,1.75378,1.72297,2.11781,0.4634,0.46576,0.39926,0.17247,1.85155,2.02602,2.18421,0.0016436,0.0016436,0.0016436
20,450.167,1.71712,1.66089,2.08504,0.6272,0.42135,0.52594,0.22099,1.90954,1.85191,2.29831,0.0016238,0.0016238,0.0016238
21,473.655,1.7457,1.64254,2.09072,0.68372,0.56742,0.57767,0.30513,1.75479,1.60606,2.10864,0.001604,0.001604,0.001604
22,497.962,1.69916,1.63149,2.05759,0.63442,0.55572,0.588,0.31477,1.73008,1.88777,2.05404,0.0015842,0.0015842,0.0015842
23,521.085,1.64166,1.54644,2.02032,0.66352,0.54494,0.59561,0.32521,1.66493,1.66114,1.98632,0.0015644,0.0015644,0.0015644
24,545.208,1.68,1.57773,2.03543,0.58709,0.51685,0.48989,0.23359,1.76413,1.91701,2.14119,0.0015446,0.0015446,0.0015446
25,569.108,1.65638,1.52512,1.9969,0.60666,0.55056,0.59274,0.33217,1.63138,1.56236,1.969,0.0015248,0.0015248,0.0015248
26,591.792,1.62945,1.48026,1.97074,0.61935,0.52809,0.57447,0.30324,1.6413,1.59927,2.0254,0.001505,0.001505,0.001505
27,614.568,1.60791,1.44788,1.95979,0.76685,0.57283,0.64415,0.37522,1.60947,1.40089,1.94166,0.0014852,0.0014852,0.0014852
28,637.602,1.62236,1.51368,1.99966,0.71965,0.548,0.63039,0.28898,1.82121,1.61048,2.13246,0.0014654,0.0014654,0.0014654
29,660.355,1.61829,1.45274,1.96278,0.78463,0.62921,0.69044,0.37059,1.63629,1.40549,1.97446,0.0014456,0.0014456,0.0014456
30,683.659,1.59425,1.4268,1.93744,0.77693,0.54789,0.63124,0.36388,1.57913,1.44918,1.95072,0.0014258,0.0014258,0.0014258
31,707.521,1.56048,1.35959,1.90556,0.72793,0.54114,0.62975,0.32682,1.63396,1.60736,1.94127,0.001406,0.001406,0.001406
32,731.078,1.55821,1.36871,1.89505,0.68035,0.59787,0.64347,0.34993,1.65619,1.63633,1.94557,0.0013862,0.0013862,0.0013862
